#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-09-26T13:56:22 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ542570194157	
#INFO	-out.max=99999	
#INFO	queryParameters=23	
#-oc.form=dec
#-out.max=99999
#-nav=cat:J/ApJ/640/L43&tab:{J/ApJ/640/L43/table1}&key:source=J/ApJ/640/L43&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/640/L43/table1
#-order=I
#-out=Seq
#-out=[Fe/H]
#-out=e_[Fe/H]
#-out=Vmag
#-out=Kmag
#-out=log(T)
#-out=log(L)
#-out=RRt
#-out=Vamp
#-out=Per
#-out=999.0
#999.0=999.0
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_16409043
#Name: J/ApJ/640/L43
#Title: Metallicities of RR Lyrae stars in Omega Cen (Sollima+, 2006)
#Table	J_ApJ_640_L43_table1:
#Name: J/ApJ/640/L43/table1
#Title: Metallicities and properties of the target RRLyrae
#Column	Seq	(I3)	The OGLE number (Cl* NGC 5139 SAW VNNN in 999.0)	[ucd=meta.id;meta.main]
#Column	[Fe/H]	(F5.2)	Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F5.2)	Error in [Fe/H]	[ucd=stat.error;phys.abund.Fe]
#Column	Vmag	(F6.3)	Mean V magnitude from Kaluzny et al. (2004, Cat. <J/A+A/424/1101>)	[ucd=phot.mag;em.opt.V]
#Column	Kmag	(F6.3)	Mean K magnitude from Sollima et al. (2004, Cat. <J/A+A/420/173>)	[ucd=phot.mag;em.IR.K]
#Column	log(T)	(F6.3)	Logarithm of the mean temperature	[ucd=phys.temperature.effective]
#Column	log(L)	(F6.3)	Logarithm of the mean luminosity in solar units	[ucd=phys.luminosity]
#Column	RRt	(I1)	The RR type: 1=RRab, 0=RRc	[ucd=meta.code;src.var]
#Column	Vamp	(F5.2)	The V band amplitude	[ucd=src.var.amplitude]
#Column	Per	(F6.3)	Period	[ucd=time.period]
#Column	999.0	(a6)	ask the {\bf\fg{FireBrick}999.0} data-base about this object	[ucd=]
#Column	_RA	(F9.5)	Right Ascension (J2000) from 999.0 (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from 999.0 (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Seq	[Fe/H]	e_[Fe/H]	Vmag	Kmag	log(T)	log(L)	RRt	Vamp	Per	999.0	_RA	_DE
131	-1.66	 0.48	14.493	13.176	 3.820	 1.715	0	 0.41	 0.392	999.0	201.62517	-47.49469
135	-1.57	 0.18	14.513	12.897	 3.785	 1.733	1	 0.83	 0.633	999.0	201.61732	-47.48843
136	-1.64	 0.37	14.376	13.204	 3.837	 1.750	0	 0.41	 0.392	999.0	201.62978	-47.46140
139	-1.83	 0.20	14.361	12.706	 3.781	 1.798	1	 0.83	 0.677	999.0	201.65747	-47.45989
140	-1.72	 0.15	14.463	12.863	 3.787	 1.752	1	 0.70	 0.620	999.0	201.67580	-47.50209
141	-2.20	 0.36	14.494	12.801	 3.777	 1.748	1	 0.71	 0.698	999.0	201.67072	-47.49115
142	-1.81	 0.24	14.587	13.161	 3.807	 1.687	0	 0.40	 0.376	999.0	201.67784	-47.47855
154	-1.49	 0.23	14.537	13.341	 3.834	 1.688	0	 0.15	 0.322	999.0	201.76339	-47.50926
156	-1.51	 0.38	14.522	13.354	 3.837	 1.691	0	 0.40	 0.359	999.0	201.69990	-47.53135
158	-1.64	 0.49	14.509	13.295	 3.832	 1.700	0	 0.35	 0.367	999.0	201.68925	-47.51115
169	-1.65	 0.19	14.641	13.462	 3.836	 1.644	0	 0.23	 0.319	999.0	201.83571	-47.39988
261	-1.50	 0.35	14.562	12.957	 3.787	 1.713	0	 0.10	 0.403	999.0	201.81421	-47.35819
263	-1.73	 0.19	14.304	12.610	 3.777	 1.824	0	 0.23	 0.503	999.0	201.55471	-47.43603
265	-2.00	 0.29	14.462	13.063	 3.810	 1.735	0	 0.31	 0.423	999.0	201.62592	-47.47922
267	-1.62	 0.63	14.486	13.309	 3.836	 1.706	0	 0.24	 0.316	999.0	201.66762	-47.44328
268	-1.76	 0.24	14.544	12.717	 3.761	 1.739	1	 0.46	 0.813	999.0	201.64650	-47.43636
271	-1.80	 0.21	14.358	12.982	 3.813	 1.775	0	 0.38	 0.443	999.0	201.69637	-47.50114
275	-1.66	 0.36	14.467	13.320	 3.839	 1.711	1	 0.36	 0.609	999.0	201.70729	-47.46036
341	-1.78	 0.59	14.454	13.332	 3.842	 1.715	0	 0.26	 0.306	999.0	201.72754	-47.47992
342	-1.71	 0.55	14.598	13.488	 3.844	 1.656	0	 0.23	 0.308	999.0	201.82829	-47.47320
344	-1.52	 0.54	14.606	13.422	 3.835	 1.659	0	 0.08	 0.314	999.0	201.65871	-47.41242
346	-1.66	 0.27	14.498	13.330	 3.837	 1.701	0	 0.36	 0.328	999.0	201.69554	-47.47058
350	-1.45	 0.40	14.483	12.878	 3.787	 1.744	0	 0.42	 0.379	999.0	201.73500	-47.51394
353	-1.93	 0.31	14.471	12.927	 3.793	 1.743	0	 0.41	 0.401	999.0	201.68246	-47.46572
354	-1.73	 0.23	14.537	13.139	 3.810	 1.705	0	 0.42	 0.420	999.0	201.66096	-47.41942
357	-1.64	 0.99	14.562	13.449	 3.843	 1.671	0	 0.05	 0.298	999.0	201.57404	-47.50650
366	-1.61	 0.14	14.145	12.382	 3.769	 1.893	1	 0.46	 1.000	999.0	201.67317	-47.52833
399	-1.70	 0.67	14.581	13.409	 3.837	 1.668	0	 0.05	 0.310	999.0	201.62304	-47.50072

