other_id type startype per other_per ra ra1 ra2 dec dec1 dec2 vmag color amp id
V112 C RRLyr       0.367 -       13 26 45.33 -47 30 37.99 14.21  0.75     0.22 V158  
V114 AB RRLyr      0.611 -       13 26 40.55 -47 30 17.31 14.35  0.65     0.70 V118  
V115 C RRLyr       0.321 -       13 26 39.64 -47 30 26.74 14.92  0.95     0.24 V48   
V116 C RRLyr       0.306 -       13 26 38.28 -47 31 16.53 14.74  0.59     0.20 V119  
V117 C RRLyr       0.304 -       13 26 28.15 -47 31 49.74 14.83  0.42     0.40 V121  
V118 AB RRLyr      0.634 -       13 26 24.52 -47 30 45.27 13.92  0.43     0.91 V40   
V122 AB RRLyr      0.835 -       13 26 17.57 -47 30 10.93 14.59  1.60     0.65 V128  
V127 AB RRLyr      0.826 -       13 25 07.87 -47 36 54.11 14.61  0.81     0.30 V63   
V128 AB RRLyr      0.653 -       13 25 10.93 -47 37 33.52 14.65  0.74     0.90 V69   
V133 AB RRLyr      0.844 -       13 26 41.09 -47 28 18.74 14.47  0.58     0.30 V144  
V134 C RRLyr       0.316 -       13 26 40.45 -47 26 36.85 15.25  1.43     0.20 V267  
V135 C RRLyr       0.352 -       13 26 39.93 -47 28 03.81 14.52  0.58     0.24 NV356 
V136 AB RRLyr      0.500 -       13 26 39.66 -47 26 55.80 14.50  0.26     0.75 V165  
V137 AB RRLyr      0.624 -       13 26 39.51 -47 27 04.97 14.16  0.44     0.07 V96   
V138 AB RRLyr      0.677 -       13 26 37.99 -47 27 36.86 14.10  0.68     0.80 V139  
V139 AB RRLyr      0.661 -       13 26 35.42 -47 28 05.63 13.97  0.61     0.55 V52   
V140 C RRLyr       0.334 -       13 26 31.72 -47 27 05.67 14.22  0.26     0.45 V137  
V142 AB RRLyr      0.619 -       13 26 26.77 -47 27 57.00 14.17  0.54     1.00 V62   
V143 AB RRLyr      0.615 -       13 26 26.22 -47 28 17.93 15.48  1.22     0.45 V27   
V144 AB RRLyr      0.312 -       13 26 43.18 -47 25 58.06 14.66  0.50     0.20 -     
V145 AB RRLyr      0.811 -       13 26 27.16 -47 24 47.36 16.01  2.11     0.75 -     
V146 AB RRLyr?     1.009 -       13 26 13.21 -47 26 10.97 14.28  0.75     0.20 V263  
V147 C RRLyr       0.381 -       13 26 11.24 -47 26 00.03 14.41 -0.31     0.40 V21   
V148 C RRLyr       0.311 -       13 26 43.92 -47 22 49.09 14.58  0.51     0.24 V274  
V149 AB RRLyr      0.574 -       13 26 42.81 -47 24 22.63 13.83  0.34     0.90 V51   
V151 C RRLyr       0.387 -       13 26 27.29 -47 24 07.39 14.69  0.66     0.40 V12   
V152 AB RRLyr      0.515 -       13 26 18.39 -47 23 13.33 14.76  0.67     1.00 V5    
V155 C RRLyr/EcB   0.370 0.740   13 26 13.17 -47 24 04.54 16.10 -0.15     0.20 V58   
V156 AB RRLyr      0.628 -       13 26 12.99 -47 24 19.81 14.76  0.77     1.00 V4    
V158 C RRLyr       0.375 -       13 26 07.04 -47 24 37.49 14.29  0.48     0.35 V10   
V162 C RRLyr       0.407 -       13 26 33.17 -47 22 26.01 13.82 -0.03     0.40 V66   
V165 C RRLyr       0.333 -       13 26 04.07 -47 21 47.22 14.54  0.53     0.16 V185  
V167 AB RRLyr      0.535 -       13 26 12.79 -47 19 36.27 14.45  0.68     0.35 V68   
V169 C RRLyr       0.313 -       13 25 49.44 -47 20 21.88 14.56  0.46     0.20 V163  
V170 AB RRLyr      0.564 -       13 26 28.60 -47 18 47.39 14.95  0.73     0.80 V67   
V171 AB RRLyr      0.773 -       13 26 23.53 -47 18 48.25 14.45 -1.42     0.50 V54   
V173 AB RRLyr      0.589 -       13 25 30.83 -47 27 21.21 14.92  0.78     1.00 V45   
V174 AB RRLyr      0.687 -       13 25 30.21 -47 25 51.91 14.71  0.79     0.80 V46   
V176 AB RRLyr      0.743 -       13 25 06.56 -47 23 33.70 14.47  0.73     0.60 V85   
V183 AB RRLyr      0.493 -       13 26 09.94 -47 13 40.04 15.19  0.84     0.80 V130  
V185 AB RRLyr      0.653 -       13 25 13.28 -47 12 28.64 14.77  0.78     0.80 V134  
